,Fitur,Rank_95%,Rank_90%,Rank_85%,Rank_80%,Rank_75%,Rank_70%,Rank_65%
377,enak,0.009225821792235411,0.009225821792235411,0.009225821792235411,0.009225821792235411,0.009225821792235411,0.009225821792235411,0.009225821792235411
630,kurang,0.0024259578876189014,0.0024259578876189014,0.0024259578876189014,0.0024259578876189014,0.0024259578876189014,0.0024259578876189014,0.0024259578876189014
645,lama,0.002051974851373206,0.002051974851373206,0.002051974851373206,0.002051974851373206,0.002051974851373206,0.002051974851373206,0.002051974851373206
572,kerabat,0.004161316201825249,0.004161316201825249,0.004161316201825249,0.004161316201825249,0.004161316201825249,0.004161316201825249,0.004161316201825249
342,disimpan,0.0106053836146216,0.0106053836146216,0.0106053836146216,0.0106053836146216,0.0106053836146216,0.0106053836146216,0.0106053836146216
411,grup,0.008449510427279927,0.008449510427279927,0.008449510427279927,0.008449510427279927,0.008449510427279927,0.008449510427279927,0.008449510427279927
103,baru,0.021964463672950352,0.021964463672950352,0.021964463672950352,0.021964463672950352,0.021964463672950352,0.021964463672950352,0.021964463672950352
1214,semakin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,tapi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,dasar,0.01390568555600269,0.01390568555600269,0.01390568555600269,0.01390568555600269,0.01390568555600269,0.01390568555600269,0.01390568555600269
329,dipinggiran,0.011126531425388775,0.011126531425388775,0.011126531425388775,0.011126531425388775,0.011126531425388775,0.011126531425388775,0.011126531425388775
1230,sepertinya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374,terjamin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,bolak,0.017095663953881957,0.017095663953881957,0.017095663953881957,0.017095663953881957,0.017095663953881957,0.017095663953881957,0.017095663953881957
1400,tidak,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784,menawarkan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Unnamed: 0,0.09036429900396947,0.09036429900396947,0.09036429900396947,0.09036429900396947,0.09036429900396947,0.09036429900396947,0.09036429900396947
640,lain,0.0022639727288196188,0.0022639727288196188,0.0022639727288196188,0.0022639727288196188,0.0022639727288196188,0.0022639727288196188,0.0022639727288196188
445,ice,0.007681518814400601,0.007681518814400601,0.007681518814400601,0.007681518814400601,0.007681518814400601,0.007681518814400601,0.007681518814400601
1383,terlihat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,berasa,0.01962955854858839,0.01962955854858839,0.01962955854858839,0.01962955854858839,0.01962955854858839,0.01962955854858839,0.01962955854858839
557,keluar,0.00440266713761317,0.00440266713761317,0.00440266713761317,0.00440266713761317,0.00440266713761317,0.00440266713761317,0.00440266713761317
556,kelokasi,0.004406803104848311,0.004406803104848311,0.004406803104848311,0.004406803104848311,0.004406803104848311,0.004406803104848311,0.004406803104848311
997,pemesanan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179,sedapp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
