,Nama,Waktu,Ulasan,Label,Cleaning,CaseFolding,slangword,Tokenizing,Stopword_Removal,Stemming,Full_Text_Stemmed
0,Ruba Nurzaman,6 bulan lalu,"RM Bebek Rizki Madura adalah destinasi yang luar biasa bagi para pecinta masakan Madura, terutama yang menggemari hidangan bebek. Saya memiliki pengalaman yang luar biasa ketika mengunjungi restoran ini. Suasana yang hangat dan ramah serta …",netral,RM Bebek Rizki Madura adalah destinasi yang luar biasa bagi para pecinta masakan Madura terutama yang menggemari hidangan bebek Saya memiliki pengalaman yang luar biasa ketika mengunjungi restoran ini Suasana yang hangat dan ramah serta ,rm bebek rizki madura adalah destinasi yang luar biasa bagi para pecinta masakan madura terutama yang menggemari hidangan bebek saya memiliki pengalaman yang luar biasa ketika mengunjungi restoran ini suasana yang hangat dan ramah serta ,rm bebek rizki madura adalah destinasi yang luar biasa bagi para pecinta masakan madura terutama yang menggemari hidangan bebek saya memiliki pengalaman yang luar biasa ketika mengunjungi restoran ini suasana yang hangat dan ramah serta,"['rm', 'bebek', 'rizki', 'madura', 'adalah', 'destinasi', 'yang', 'luar', 'biasa', 'bagi', 'para', 'pecinta', 'masakan', 'madura', 'terutama', 'yang', 'menggemari', 'hidangan', 'bebek', 'saya', 'memiliki', 'pengalaman', 'yang', 'luar', 'biasa', 'ketika', 'mengunjungi', 'restoran', 'ini', 'suasana', 'yang', 'hangat', 'dan', 'ramah', 'serta']","['rm', 'bebek', 'rizki', 'madura', 'destinasi', 'pecinta', 'masakan', 'madura', 'menggemari', 'hidangan', 'bebek', 'memiliki', 'pengalaman', 'mengunjungi', 'restoran', 'suasana', 'hangat', 'ramah']","['rm', 'bebek', 'rizki', 'madura', 'destinasi', 'pecinta', 'masakan', 'madura', 'menggemari', 'hidangan', 'bebek', 'memiliki', 'pengalaman', 'mengunjungi', 'restoran', 'suasana', 'hangat', 'ramah']",rm bebek rizki madura destinasi pecinta masakan madura menggemari hidangan bebek memiliki pengalaman mengunjungi restoran suasana hangat ramah
1,bima Aqil,seminggu lalu,"Ingin mencoba ternyata biasa aja rasa agak asin agak keras
Harga selisih sedikit mending yg sebelah S",negatif,Ingin mencoba ternyata biasa aja rasa agak asin agak keras Harga selisih sedikit mending yg sebelah ,ingin mencoba ternyata biasa aja rasa agak asin agak keras harga selisih sedikit mending yg sebelah ,ingin mencoba ternyata biasa aja rasa agak asin agak keras harga selisih sedikit mending yg sebelah,"['ingin', 'mencoba', 'ternyata', 'biasa', 'aja', 'rasa', 'agak', 'asin', 'agak', 'keras', 'harga', 'selisih', 'sedikit', 'mending', 'yg', 'sebelah']","['mencoba', 'aja', 'asin', 'keras', 'harga', 'selisih', 'mending', 'sebelah']","['mencoba', 'aja', 'asin', 'kera', 'harga', 'selisih', 'mend', 'sebelah']",mencoba aja asin kera harga selisih mend sebelah
2,Yodi Manroe,2 bulan lalu,"Dateng 30 menit sebelum 1 grup bis dateng. Minuman keluar ok. Makanan ga keluar. Dateng itu grup, malah grup bis duluan yang dikeluarin makanannya.
Alhasil ngamuk karena petugasnya juga malah blg masih diproses, sedangkan itu …",negatif,Dateng menit sebelum grup bis dateng Minuman keluar ok Makanan ga keluar Dateng itu grup malah grup bis duluan yang dikeluarin makanannya Alhasil ngamuk karena petugasnya juga malah blg masih diproses sedangkan itu ,dateng menit sebelum grup bis dateng minuman keluar ok makanan ga keluar dateng itu grup malah grup bis duluan yang dikeluarin makanannya alhasil ngamuk karena petugasnya juga malah blg masih diproses sedangkan itu ,dateng menit sebelum grup bis dateng minuman keluar ok makanan ga keluar dateng itu grup malah grup bis duluan yang dikeluarin makanannya alhasil ngamuk karena petugasnya juga malah blg masih diproses sedangkan itu,"['dateng', 'menit', 'sebelum', 'grup', 'bis', 'dateng', 'minuman', 'keluar', 'ok', 'makanan', 'ga', 'keluar', 'dateng', 'itu', 'grup', 'malah', 'grup', 'bis', 'duluan', 'yang', 'dikeluarin', 'makanannya', 'alhasil', 'ngamuk', 'karena', 'petugasnya', 'juga', 'malah', 'blg', 'masih', 'diproses', 'sedangkan', 'itu']","['dateng', 'menit', 'grup', 'bis', 'dateng', 'minuman', 'ok', 'makanan', 'ga', 'dateng', 'grup', 'grup', 'bis', 'duluan', 'dikeluarin', 'makanannya', 'alhasil', 'ngamuk', 'petugasnya', 'blg', 'diproses']","['dateng', 'menit', 'grup', 'bi', 'dateng', 'minuman', 'ok', 'makanan', 'ga', 'dateng', 'grup', 'grup', 'bi', 'duluan', 'dikeluarin', 'makanannya', 'alhasil', 'ngamuk', 'petugasnya', 'blg', 'dipros']",dateng menit grup bi dateng minuman ok makanan ga dateng grup grup bi duluan dikeluarin makanannya alhasil ngamuk petugasnya blg dipros
3,david dwi ariyanto,2 bulan lalu,"Lumayan sih, cuma sambel pencitnya kurang pedes.",netral,Lumayan sih cuma sambel pencitnya kurang pedes ,lumayan sih cuma sambel pencitnya kurang pedes ,lumayan sih cuma sambel pencitnya kurang pedes,"['lumayan', 'sih', 'cuma', 'sambel', 'pencitnya', 'kurang', 'pedes']","['lumayan', 'sih', 'sambel', 'pencitnya', 'pedes']","['lumayan', 'sih', 'sambel', 'pencitnya', 'pede']",lumayan sih sambel pencitnya pede
4,Rendra Renaldy,10 bulan lalu,"Resto kotor bgtt pdahal yg beli jg y bnyak"" bgt. Bnyak bangku yg kosong tpi semua kotorrrrrr sisa makanan dmna"" smpe bingung mau duduk dmna. suda minta tolong di bersihkan tp ttp tdk di bersihkan jg. Bikin badmood ukuran jg kecil bgt dan …",negatif,Resto kotor bgtt pdahal yg beli jg bnyak bgt Bnyak bangku yg kosong tpi semua kotorr sisa makanan dmna smpe bingung mau duduk dmna suda minta tolong di bersihkan tp ttp tdk di bersihkan jg Bikin badmood ukuran jg kecil bgt dan ,resto kotor bgtt pdahal yg beli jg bnyak bgt bnyak bangku yg kosong tpi semua kotorr sisa makanan dmna smpe bingung mau duduk dmna suda minta tolong di bersihkan tp ttp tdk di bersihkan jg bikin badmood ukuran jg kecil bgt dan ,resto kotor bgtt pdahal yg beli jg bnyak bgt bnyak bangku yg kosong tpi semua kotorr sisa makanan dmna smpe bingung mau duduk dmna suda minta tolong di bersihkan tp ttp tdk di bersihkan jg bikin badmood ukuran jg kecil bgt dan,"['resto', 'kotor', 'bgtt', 'pdahal', 'yg', 'beli', 'jg', 'bnyak', 'bgt', 'bnyak', 'bangku', 'yg', 'kosong', 'tpi', 'semua', 'kotorr', 'sisa', 'makanan', 'dmna', 'smpe', 'bingung', 'mau', 'duduk', 'dmna', 'suda', 'minta', 'tolong', 'di', 'bersihkan', 'tp', 'ttp', 'tdk', 'di', 'bersihkan', 'jg', 'bikin', 'badmood', 'ukuran', 'jg', 'kecil', 'bgt', 'dan']","['resto', 'kotor', 'bgtt', 'pdahal', 'beli', 'jg', 'bnyak', 'bgt', 'bnyak', 'bangku', 'kosong', 'tpi', 'kotorr', 'sisa', 'makanan', 'dmna', 'smpe', 'bingung', 'duduk', 'dmna', 'suda', 'bersihkan', 'tp', 'ttp', 'tdk', 'bersihkan', 'jg', 'bikin', 'badmood', 'ukuran', 'jg', 'bgt']","['resto', 'kotor', 'bgtt', 'pdahal', 'beli', 'jg', 'bnyak', 'bgt', 'bnyak', 'bangku', 'kosong', 'tpi', 'kotorr', 'sisa', 'makanan', 'dmna', 'smpe', 'bingung', 'duduk', 'dmna', 'suda', 'bersihkan', 'tp', 'ttp', 'tdk', 'bersihkan', 'jg', 'bikin', 'badmood', 'ukuran', 'jg', 'bgt']",resto kotor bgtt pdahal beli jg bnyak bgt bnyak bangku kosong tpi kotorr sisa makanan dmna smpe bingung duduk dmna suda bersihkan tp ttp tdk bersihkan jg bikin badmood ukuran jg bgt
5,Budiono Darmadji,6 bulan lalu,"Kalau pas perjalanan ke arah sampang/sumenep pasti mampir ke sini
Rasanya khas bebek madura.
Hanya kadang bebeknya ada yg kering dan ada yg empuk. Karena memang disimpan di freezer sepertinya",positif,Kalau pas perjalanan ke arah sampang sumenep pasti mampir ke sini Rasanya khas bebek madura Hanya kadang bebeknya ada yg kering dan ada yg empuk Karena memang disimpan di freezer sepertinya,kalau pas perjalanan ke arah sampang sumenep pasti mampir ke sini rasanya khas bebek madura hanya kadang bebeknya ada yg kering dan ada yg empuk karena memang disimpan di freezer sepertinya,kalau pas perjalanan ke arah sampang sumenep pasti mampir ke sini rasanya khas bebek madura hanya kadang bebeknya ada yg kering dan ada yg empuk karena memang disimpan di freezer sepertinya,"['kalau', 'pas', 'perjalanan', 'ke', 'arah', 'sampang', 'sumenep', 'pasti', 'mampir', 'ke', 'sini', 'rasanya', 'khas', 'bebek', 'madura', 'hanya', 'kadang', 'bebeknya', 'ada', 'yg', 'kering', 'dan', 'ada', 'yg', 'empuk', 'karena', 'memang', 'disimpan', 'di', 'freezer', 'sepertinya']","['pas', 'perjalanan', 'arah', 'sampang', 'sumenep', 'mampir', 'khas', 'bebek', 'madura', 'kadang', 'bebeknya', 'kering', 'empuk', 'disimpan', 'freezer']","['pa', 'perjalanan', 'arah', 'sampang', 'sumenep', 'mampir', 'kha', 'bebek', 'madura', 'kadang', 'bebeknya', 'kere', 'empuk', 'disimpan', 'freezer']",pa perjalanan arah sampang sumenep mampir kha bebek madura kadang bebeknya kere empuk disimpan freezer
6,Akhmad Sahrullah Fadli,sebulan lalu,"Nongkrong bareng teman-teman tambah seru, bisa juga mampir dari perjalanan",netral,Nongkrong bareng teman teman tambah seru bisa juga mampir dari perjalanan,nongkrong bareng teman teman tambah seru bisa juga mampir dari perjalanan,nongkrong bareng teman teman tambah seru bisa juga mampir dari perjalanan,"['nongkrong', 'bareng', 'teman', 'teman', 'tambah', 'seru', 'bisa', 'juga', 'mampir', 'dari', 'perjalanan']","['nongkrong', 'bareng', 'teman', 'teman', 'seru', 'mampir', 'perjalanan']","['nongkrong', 'bareng', 'teman', 'teman', 'seru', 'mampir', 'perjalanan']",nongkrong bareng teman teman seru mampir perjalanan
7,Eko Budi,11 bulan lalu,Suasananya nyaman dan bersih. Lokasinya sangat terjangkau dari Jembatan Suramada dan pinggir jalan besar. Makanannya lezat dengan 2 jenis sambal yaitu Sambal pencit dan sambal trasi. Menu tidak hanya bebek tetapi ada gurami bakar.,positif,Suasananya nyaman dan bersih Lokasinya sangat terjangkau dari Jembatan Suramada dan pinggir jalan besar Makanannya lezat dengan jenis sambal yaitu Sambal pencit dan sambal trasi Menu tidak hanya bebek tetapi ada gurami bakar ,suasananya nyaman dan bersih lokasinya sangat terjangkau dari jembatan suramada dan pinggir jalan besar makanannya lezat dengan jenis sambal yaitu sambal pencit dan sambal trasi menu tidak hanya bebek tetapi ada gurami bakar ,suasananya nyaman dan bersih lokasinya sangat terjangkau dari jembatan suramada dan pinggir jalan besar makanannya lezat dengan jenis sambal yaitu sambal pencit dan sambal trasi menu tidak hanya bebek tetapi ada gurami bakar,"['suasananya', 'nyaman', 'dan', 'bersih', 'lokasinya', 'sangat', 'terjangkau', 'dari', 'jembatan', 'suramada', 'dan', 'pinggir', 'jalan', 'besar', 'makanannya', 'lezat', 'dengan', 'jenis', 'sambal', 'yaitu', 'sambal', 'pencit', 'dan', 'sambal', 'trasi', 'menu', 'tidak', 'hanya', 'bebek', 'tetapi', 'ada', 'gurami', 'bakar']","['suasananya', 'nyaman', 'bersih', 'lokasinya', 'terjangkau', 'jembatan', 'suramada', 'pinggir', 'jalan', 'makanannya', 'lezat', 'sambal', 'sambal', 'pencit', 'sambal', 'trasi', 'menu', 'bebek', 'gurami', 'bakar']","['suasananya', 'nyaman', 'bersih', 'lokasinya', 'terjangkau', 'jembatan', 'suramada', 'pinggir', 'jalan', 'makanannya', 'lezat', 'sambal', 'sambal', 'pencit', 'sambal', 'trasi', 'menu', 'bebek', 'gurami', 'bakar']",suasananya nyaman bersih lokasinya terjangkau jembatan suramada pinggir jalan makanannya lezat sambal sambal pencit sambal trasi menu bebek gurami bakar
8,Fin Katiq,sebulan lalu,"Sekarang kalo lewat Bangkalan, selalu  menikmati makanan di Bebek rizky karena masakannya macam"" Asa juga rawon, sop buntut dll, parkir lebih luas DP sebelahnya. Tentang rasa juga tak kalah nyam nyamnya bebek rizky",positif,Sekarang kalo lewat Bangkalan selalu menikmati makanan di Bebek rizky karena masakannya macam Asa juga rawon sop buntut dll parkir lebih luas DP sebelahnya Tentang rasa juga tak kalah nyam nyamnya bebek rizky,sekarang kalo lewat bangkalan selalu menikmati makanan di bebek rizky karena masakannya macam asa juga rawon sop buntut dll parkir lebih luas dp sebelahnya tentang rasa juga tak kalah nyam nyamnya bebek rizky,sekarang kalo lewat bangkalan selalu menikmati makanan di bebek rizky karena masakannya macam asa juga rawon sop buntut dll parkir lebih luas dp sebelahnya tentang rasa juga tak kalah nyam nyamnya bebek rizky,"['sekarang', 'kalo', 'lewat', 'bangkalan', 'selalu', 'menikmati', 'makanan', 'di', 'bebek', 'rizky', 'karena', 'masakannya', 'macam', 'asa', 'juga', 'rawon', 'sop', 'buntut', 'dll', 'parkir', 'lebih', 'luas', 'dp', 'sebelahnya', 'tentang', 'rasa', 'juga', 'tak', 'kalah', 'nyam', 'nyamnya', 'bebek', 'rizky']","['kalo', 'bangkalan', 'menikmati', 'makanan', 'bebek', 'rizky', 'masakannya', 'asa', 'rawon', 'sop', 'buntut', 'parkir', 'luas', 'dp', 'sebelahnya', 'kalah', 'nyam', 'nyamnya', 'bebek', 'rizky']","['kalo', 'bangkalan', 'menikmati', 'makanan', 'bebek', 'rizki', 'masakannya', 'asa', 'rawon', 'sop', 'buntut', 'parkir', 'lua', 'dp', 'sebelahnya', 'kalah', 'nyam', 'nyamnya', 'bebek', 'rizki']",kalo bangkalan menikmati makanan bebek rizki masakannya asa rawon sop buntut parkir lua dp sebelahnya kalah nyam nyamnya bebek rizki
9,ali faishol,1 hari lalu,"KARYAWANNAH MALENGAN.
Bapak Owner/manager mohon perhatikan karyawan seperti itu. Dari pada citra perusahaan yg jelek. Sekian.",negatif,KARYAWANNAH MALENGAN Bapak Owner manager mohon perhatikan karyawan seperti itu Dari pada citra perusahaan yg jelek Sekian ,karyawannah malengan bapak owner manager mohon perhatikan karyawan seperti itu dari pada citra perusahaan yg jelek sekian ,karyawannah malengan bapak owner manager mohon perhatikan karyawan seperti itu dari pada citra perusahaan yg jelek sekian,"['karyawannah', 'malengan', 'bapak', 'owner', 'manager', 'mohon', 'perhatikan', 'karyawan', 'seperti', 'itu', 'dari', 'pada', 'citra', 'perusahaan', 'yg', 'jelek', 'sekian']","['karyawannah', 'malengan', 'owner', 'manager', 'mohon', 'perhatikan', 'karyawan', 'citra', 'perusahaan', 'jelek']","['karyawannah', 'malengan', 'owner', 'manag', 'mohon', 'perhatikan', 'karyawan', 'citra', 'perusahaan', 'jelek']",karyawannah malengan owner manag mohon perhatikan karyawan citra perusahaan jelek
