rm,rumah makan
yg,yang
bis,bus
ngamuk,marah
blg,bilang
bnyk,banyak
bgt,banget
bnyak,banyak
tpi,tapi
dmna,dimana
smpe,sampai
tp,tapi
ttp,tetap
tdk,tidak
jg,juga
trasi,terasi
asa,ada
dll,danlainlain
dp,daripada
karyawannah,karyawannya
malengan,curang
req,pesan
d,di
gk,tidak
klo,kalau
takeaway,bungkus
cabe,Cabai
sambel,sambal
highly recommend food,makanan yang sarankan
ngga,tidak
ala,khas
variatif,beragam
gakalah,tidak kalah
tmpt,tempat 
dg,dengan
g,Tidak
bervariasi,beragam
bersihlan,bersihkan
ilfel,jijik
plus,unggulan
rame,ramai
ga,tidak
topp,enak
ny,nya
apes,sial
kebaian,kebagian
ampuh,ampun
dah,deh
tempak,tempat
okeeeh,oke
utk,untuk
sdkit,sedikit
agk,agak
pdhl,padahal
n,dan
sya,saya
syur,sambal
sbgai,sebagai
kyk,seperti
ogah,malas
over all,semuanya
smga,semoga
has,khas
pao,mangga
pencit,mangga muda
mantulll,enak
spt,seperti
cah,tumis
minusnya,kurangnya
merengut,cemberut
overrated,berlebihan
b aja,biasa saja
kecut,asam
dn,dan
uwenaak,enak
mnrt,menurut
aq,aku
mkn,makan
sm,sama
expectasi,harapan
mmg,memang
bbrp,beberapa
miskom,kurang komunikasi
tenan,sungguh
mantul,enak
tissu,tisu
org,orang
pemcit,mangga muda
sdh,sudah
thd,terhadap
lbh,lebih
tks,terimakasih
dine in,makan ditempat
service quality,pelayanan
yaahh,ya
jgn,jangan
dr,dari
crew,karyawan
se,yang
ajuwel,jual
malle,biar
sajhen,makin
soghi,kaya
mantaf,mantap
yah,ya
mantab,mantap
hrg,harga
standart,sesuai
kapok,menyesal
dech,deh
order,pesan
nasgor,nasi goreng
krn,karena
pnikmat,penikmat
mnyantap,menyantap
popuker,populer
smoking,rokok
non smoking,tidak merokok
room,ruangan
ennek,enek
silit,pantat
lemot,lama
sy,saya
krg,kurang
standard,sesuai
siiiipppp,bagus
jooosss,jos
terbaique,terbaik
pelayananny,pelayanannya
dutamakan,diutamakan
freshan,kesegaran
recommended,rekomendasi
mercing,menyipit
skrang,sekarang
next,selanjutnya
the best,terbaik
gak,tidak
alot,keras
nampol,mantap
iyaa,iya
hrus,harus
ratt,nilai
soup,sup
metting,rapat
sop,sup
brasa,berasa
lamaaaaaaaa,lama
musyolla,musholla
rb,ribu
moto,memfoto
pengujung,pengunjung
cm,cuma
bs,bisa
dpetnya,dapetnya
joosssss,jos
mmang,memang
rasanta,rasanya
klok,kalau
bsa,bisa
pelayabannya,pelayanannya
jngn,jangan
ktmu,ketemu
sambelnua,sambelnya
luama,lama
okk,ok
saingan,competitor
kallau,kalau
worthed,sesuai
personally,pribadi
tatste,rasa
nasgornya,nasi gorengnya
